"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H6","HS","true","100610","Cereals; rice in the husk (paddy or rough)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25522","false","8","kg","25522","false","25522","false","0","false","44525.184",,"44525.184","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","50","BGD","Bangladesh","0","W00","World","H6","HS","true","100610","Cereals; rice in the husk (paddy or rough)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5520","false","8","kg","5520","false","5520","false","0","false","8479.117",,"8479.117","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","364","IRN","Iran","0","W00","World","H6","HS","true","100610","Cereals; rice in the husk (paddy or rough)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1419","false","8","kg","1419","false","1419","false","0","false","2400.542",,"2400.542","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","372","IRL","Ireland","0","W00","World","H6","HS","true","100610","Cereals; rice in the husk (paddy or rough)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18547","false","8","kg","18547","false","18547","false","0","false","32479.122",,"32479.122","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","100610","Cereals; rice in the husk (paddy or rough)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","36","false","8","kg","36","false","36","false","0","false","1166.403",,"1166.403","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24498579","false","8","kg","24498579","false","24498579","false","0","false","22646494.651",,"22646494.651","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3468420","false","8","kg","3468420","false","3468420","false","0","false","2079022.784",,"2079022.784","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","74842","false","8","kg","74842","false","74842","false","0","false","106862.068",,"106862.068","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7556","false","8","kg","7556","false","7556","false","0","false","8607.814",,"8607.814","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","990","false","8","kg","990","false","990","false","0","false","1708.287",,"1708.287","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","251","FRA","France","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31048","false","8","kg","31048","false","31048","false","0","false","54047.426",,"54047.426","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","300","GRC","Greece","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","176684","false","8","kg","176684","false","176684","false","0","false","139750.311",,"139750.311","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","328","GUY","Guyana","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","202538","false","8","kg","202538","false","202538","false","0","false","130826.85",,"130826.85","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","368","IRQ","Iraq","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14540","false","8","kg","14540","false","14540","false","0","false","18083.996",,"18083.996","0","false","true",
"C","M","20220101","2022","1","202201","826","GBR","United Kingdom","M","Import","372","IRL","Ireland","0","W00","World","H6","HS","true","100620","Cereals; husked (brown) rice","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1578","false","8","kg","1578","false","1578","false","0","false","2244.751",,"2244.751","0","false","true",
